caseId	origin	category	resolutionText	curve	pointsBits	evaluationTimeBits	expectedKind	expectedBits	expectedCategory	sampleRateBits	sampleNumberBits
rt-seed-0535	seeded	seeded-linear	1E-400	LINEAR	0000000000000000:4052d549d45a6796;402c800000000000:404bb59d84c6e1a2;4040400000000000:40344a22d444f237;4046f00000000000:4056bd7c5c3f397c;4047300000000000:40386205449ec77f	404521a7513e374d	bits	4051f801f61c8ffd			
rt-seed-0536	seeded	seeded-linear	-1	LINEAR	0000000000000000:40446d774e155580;4032e00000000000:c0416cc8bb8a96fc;4035800000000000:c046922d4e1b700a;403ae00000000000:bfeeed1668e49780	4018523976f541e0	bits	403077cba095d43d			
rt-seed-0537	seeded	seeded-linear	1	LINEAR	0000000000000000:3fda6af1ff198a3c;4000000000000000:3fd8b49cbbb5632c;4031000000000000:bfe997d19440036a	40205e5dc8d5947c	bits	0000000000000000			
rt-seed-0538	seeded	seeded-linear	0.001	LINEAR	0000000000000000:402bf45f9f522735;4029c00000000000:4045b0838a4cd0bb;402c800000000000:4041c6287ff96f7e;403cc00000000000:405ccc6597d6e674	403cc00000000000	bits	405ccc6597d6e674			
rt-seed-0539	seeded	seeded-linear	1	LINEAR	0000000000000000:bfd5000bc0ea9fbc;4023000000000000:bfc2a292a80d84d8;403d800000000000:3fdfbb3d35ecb308;404b400000000000:3fe2bfc502c226a0	40400f2cc8c9d8eb	bits	0000000000000000			
rt-seed-0540	seeded	seeded-linear	0.25	LINEAR	0000000000000000:4040030fb30e39f2;400d000000000000:408e65ebec069628;4020000000000000:4078cffda8613dd5;403ec00000000000:4086fe34c918b535	4026aae101137458	bits	407be80000000000			
rt-seed-0541	seeded	seeded-linear	0.2	LINEAR	0000000000000000:bfda92850332666c;4021000000000000:bfbd1332a3eefd80;403d400000000000:bfebdcab64cc48ae;4046100000000000:bfd16f0dd3ab4390;4047400000000000:3fe39bd47d5eabdc	4043c1e43f201ff8	bits	bfd999999999999a			
rt-seed-0542	seeded	seeded-linear	0.01	LINEAR	0000000000000000:3fe7df7354a98784;4038000000000000:3fe75cdd8c346dd0;4044100000000000:bfef5c6b4c861f06;4048000000000000:bfbcf5e09fc85eb0	403fa87bb3debb4d	bits	bfb47ae147ae147b			
rt-seed-0543	seeded	seeded-linear	0.2	LINEAR	0000000000000000:bfc8f9804d06dc70;402f400000000000:3fd1d442062d5f14;403d600000000000:3fe9077bf61ce084;4040a00000000000:3fe9bd00449cf1c0;4042b00000000000:bfebb61854de8e6a	4026356754836c32	bits	0000000000000000			
rt-seed-0544	seeded	seeded-linear	5	LINEAR	0000000000000000:c034b110710d24d0;4012000000000000:c0445b983086741f;403c200000000000:c043db29edcae275	4032a765bd4e9bfd	bits	c044000000000000			
rt-seed-0545	seeded	seeded-linear	0	LINEAR	0000000000000000:408e30e9ff165dac;4016800000000000:408000b71afefb3d	4003213ef9a43751	bits	408828d6324cb8ac			
rt-seed-0546	seeded	seeded-linear	0.2	LINEAR	0000000000000000:405d12ea13f40025;4039000000000000:405c04b3ddbd3961;403f200000000000:4052aa1b14552886;4046100000000000:404206a1c30a452f;4050980000000000:4035239949f754e2	4054d80000000000	bits	4035239949f754e2			
rt-seed-0547	seeded	seeded-linear	1E-400	LINEAR	0000000000000000:404d6998f45d23c3;4038600000000000:404286c08f4ae200	40328727a64952a6	bits	4045234206ffcca8			
rt-seed-0548	seeded	seeded-linear	0.00	LINEAR	0000000000000000:4084e20352545b7a;4015000000000000:40848b7e10342239;4037200000000000:405130e3b574b050	4037200000000000	bits	405130e3b574b050			
rt-seed-0549	seeded	seeded-linear	0.01	LINEAR	0000000000000000:40479837baea9608;4038c00000000000:40502b7a55498ff8;4044500000000000:4065501da81b8c74;404ea00000000000:408b98b58adff3be;4050200000000000:407cee60e8b4f0aa	4056e00000000000	bits	407cee60e8b4f0aa			
rt-seed-0550	seeded	seeded-linear	0.5	LINEAR	0000000000000000:3feef3e8bff88e4e;4005000000000000:bfc2ca19e4a1d318	404ad00000000000	bits	bfc2ca19e4a1d318			
rt-seed-0551	seeded	seeded-linear	0.25	LINEAR	0000000000000000:3fe873a70d2fd2bc;402e800000000000:bfb4600b19b726c0;4041700000000000:bfec87e9421a30a0;404a000000000000:bfe340781925f078;404bf00000000000:3fed8a62c38690d4	40260d153de8494c	bits	3fd0000000000000			
rt-seed-0552	seeded	seeded-linear	0	LINEAR	0000000000000000:405655661e95cb4a;4032200000000000:c052943bcd63d20a;4042900000000000:4045541c9d54547c;4048e00000000000:4040938dd6fad3b8;4052700000000000:c05582e758052b5e	4022b7e6cee6c1ef	bits	401352490e9e2970			
rt-seed-0553	seeded	seeded-linear	0.01	LINEAR	0000000000000000:3fca1f703c340850;3ff0000000000000:3fe644451c9457e7	3fd20482f0841968	bits	3fd5c28f5c28f5c3			
rt-seed-0554	seeded	seeded-linear	0	LINEAR	0000000000000000:407ff4ae03f86f06;4028400000000000:4074c52d43760192;4041f00000000000:405815c31cc6cd2d	403ecf338460474d	bits	4062558776051827			
rt-seed-0555	seeded	seeded-linear	0.123456789012345678901	LINEAR	0000000000000000:3ff60a5e161af980;401a800000000000:c01cfc1a396c67e0;403f000000000000:405550218fbbc794	4050400000000000	bits	405550218fbbc794			
rt-seed-0556	seeded	seeded-linear	0.001	LINEAR	0000000000000000:c024be65f5e91f80;4018800000000000:c0228c6fbbff0ef0;4038e00000000000:c02513d1b3960f18	4018e08fb8a11b71	bits	c0228f5c28f5c28f			
rt-seed-0557	seeded	seeded-linear	0.123456789012345678901	LINEAR	0000000000000000:404b06607ad0bebe;401d000000000000:4056a855cf7831b8;4032400000000000:40524f60fb4a19fd;4038400000000000:402dd3fa62402483	4037056e0b0330d1	bits	403ae9e061126dcd			
rt-seed-0558	seeded	seeded-linear	5	LINEAR	0000000000000000:bfe7a534b58ef8be;4026000000000000:bfef3ebf4e899826;4031200000000000:bfee49be5ed86db2;4044700000000000:3fe9776f089332fe;404f200000000000:3fd7feb4c4ca21b4	4026000000000000	bits	bfef3ebf4e899826			
rt-seed-0559	seeded	seeded-linear	-1	LINEAR	0000000000000000:3fe9781df8bbe62c;4023c00000000000:3fd343e6467bb31c;4028800000000000:3fe087ec4893224c;4041200000000000:3fdeba6da9cdda52	4041200000000000	bits	3fdeba6da9cdda52			
rt-seed-0560	seeded	seeded-linear	0.00	LINEAR	0000000000000000:40578f2bae026de8;4024800000000000:403e69b9d7bcbb22;4027400000000000:40351c9e525f1895	40249bf20df12c20	bits	403e0b3501a4890a			
rt-seed-0561	seeded	seeded-linear	0.123456789012345678901	LINEAR	0000000000000000:4081def1db7f8910;4032400000000000:40552536fdaa4456	40156cd655cd1fb4	bits	407ace38df820fb5			
rt-seed-0562	seeded	seeded-linear	0.123456789012345678901	LINEAR	0000000000000000:3fc7d8a3eb5ed548;401c800000000000:3fdf31871854c440	0000000000000000	bits	3fc7d8a3eb5ed548			
rt-seed-0563	seeded	seeded-linear	5	LINEAR	0000000000000000:bfe4b96a1aac6d02;3fe8000000000000:3f89eed361d7fd00;402c000000000000:bfd9790eceba8f68;403f600000000000:bfd0b66d25ffaf00;404c400000000000:3fe1a50748a28528	404ba038bc63ef2d	bits	0000000000000000			
rt-seed-0564	seeded	seeded-linear	-1	LINEAR	0000000000000000:4050ba286dbda0f7;402c400000000000:4077b3f20d51f224;4035a00000000000:406931eb66ffa237;403b200000000000:408cb91049cb5ff6	4033d4281888c810	bits	406e83b83eddbb5a			
rt-seed-0565	seeded	seeded-linear	0	LINEAR	0000000000000000:4055e94f2894836d;4038200000000000:40560f5ea1e51be6;4045500000000000:405ec47eb5215149;4050080000000000:4053ced08e052f60	0000000000000000	bits	4055e94f2894836d			
rt-seed-0566	seeded	seeded-linear	0.01	LINEAR	0000000000000000:405ecdaeced36b82;402ac00000000000:40091791fceed946;403be00000000000:405844f227ec128c	40345b7cb12ec9e4	bits	40482f5c28f5c28f			
rt-seed-0567	seeded	seeded-linear	1	LINEAR	0000000000000000:408519774173b6ba;402ec00000000000:408ce2253c58307f	3fc000281857e460	bits	4085280000000000			
rt-seed-0568	seeded	seeded-linear	0.01	LINEAR	0000000000000000:3fd06bf2bc6488da;400f000000000000:3fe7f290a23a61c7;4017000000000000:3fee46c97066b65e;4030800000000000:3fd197f1b7ea57e8;403f000000000000:3fb3e1418b03da00	403212cfca3c1c5d	bits	3fd0a3d70a3d70a4			
rt-seed-0569	seeded	seeded-linear	0.1	LINEAR	0000000000000000:3fe0735a963c4ae2;4028400000000000:bfdb8235d6b6e288	401509ca110031fc	bits	3fc999999999999a			
rt-seed-0570	seeded	seeded-linear	0.25	LINEAR	0000000000000000:4085faac0e2da03c;402cc00000000000:405fd06cbab148fd;4042a00000000000:405be3ea3cb2e4af;4044c00000000000:408e21138c2095f6;404a200000000000:40845cf2e07423eb	4033daff328e15b1	bits	405ee00000000000			
rt-seed-0571	seeded	seeded-linear	0.2	LINEAR	0000000000000000:40554e5f64e1795f;3fec000000000000:40438e9edfff927f	0000000000000000	bits	40554e5f64e1795f			
rt-seed-0572	seeded	seeded-linear	-1	LINEAR	0000000000000000:406a949ba3a4351c;4033000000000000:408ec2768af3a48e;4044c00000000000:40704f573107d14b	40364da2657feb57	bits	408b70e52c819ab0			
rt-seed-0573	seeded	seeded-linear	0.001	LINEAR	0000000000000000:40533405c59683cc;3ff6000000000000:c057b9b5705ea647;4039200000000000:c04cb5551c055072;4046b00000000000:c05556e03547c982;4049b00000000000:c03399bd06b360b8	40450b292fe201f8	bits	c054347ae147ae14			
rt-seed-0574	seeded	seeded-linear	0.2	LINEAR	0000000000000000:405b34e435e6347f;4031400000000000:402c129aee6dcd7d	402465d491a33e85	bits	404a666666666666			
rt-seed-0575	seeded	seeded-linear	1	LINEAR	0000000000000000:4087aa218c31a2e6;4038a00000000000:403ca34346f834ca;4048500000000000:4087b4859afb7e64;4052100000000000:408d263969e94cce	0000000000000000	bits	4087aa218c31a2e6			
rt-seed-0576	seeded	seeded-linear	5	LINEAR	0000000000000000:401e849dfd63d8f0;4004000000000000:4048d7376ba3cb18	3ff7d3a2dc7dc1ff	bits	403e000000000000			
rt-seed-0577	seeded	seeded-linear	0	LINEAR	0000000000000000:3fe3222d7d842274;401a000000000000:3fdab77de8d953ca;402d000000000000:3fe134e3d971170c;403c400000000000:3fe943ed872e6906	4013fd6017d1d9d8	bits	3fdd6302cc79b333			
rt-seed-0578	seeded	seeded-linear	0.10	LINEAR	0000000000000000:3fdbd9cc858453c0;4011000000000000:3fe3294acf4c1e73;4024000000000000:3fe3440326694e1d;403a200000000000:3fb741fdbbd19b68	400c236e24a52e04	bits	3fe0000000000000			
rt-seed-0579	seeded	seeded-linear	0.00	LINEAR	0000000000000000:400d5218dc612560;3ffc000000000000:c02904af874c26a0;4037000000000000:c049196120ff0616;4038400000000000:c0513d993452e5d6;4047600000000000:c034591b8905c940	4043681739ab7b99	bits	c042bf9166b7f23a			
rt-seed-0580	seeded	seeded-linear	0	LINEAR	0000000000000000:bfef94ae9c29fb54;401a800000000000:3fd64ae7d940d178;4025400000000000:bfd0402ffa0aa5e0;4034c00000000000:3f8ee163d6275280	4053300000000000	bits	3f8ee163d6275280			
rt-seed-0581	seeded	seeded-linear	0.001	LINEAR	0000000000000000:bfe093c5c961989c;4018000000000000:bfc68a8b941e90d0	3fd21577416c09e0	bits	bfe010624dd2f1aa			
rt-seed-0582	seeded	seeded-linear	0	LINEAR	0000000000000000:3fc108c6f352d808;4031400000000000:3feca9c92f854b7e;4035c00000000000:3fed69ecad1c834a	4014cf1587039f5b	bits	3fd73cab1035e3cb			
rt-seed-0583	seeded	seeded-linear	0	LINEAR	0000000000000000:405a6649848ffbc4;4020400000000000:4046d9f400206c3a;403f600000000000:4054d3d58a869ae7	400fb506cb40f012	bits	40531863eaf84f3f			
rt-seed-0584	seeded	seeded-linear	0.2	LINEAR	0000000000000000:40256a510cbbd5cf;4031600000000000:405c084a8caa2794;403a800000000000:4050a1434cab4c69;403c200000000000:405a80b74157e51c;4041f00000000000:404f3d94a03e718f	4050780000000000	bits	404f3d94a03e718f			
rt-seed-0585	seeded	seeded-linear	1	LINEAR	0000000000000000:3fe34ec443c7d570;402f800000000000:3fce1459b8c5770c;4037600000000000:3fe0b9af0bce0bd3;403fa00000000000:3fedaf91801bd4ad	4019e09d746ebf7a	bits	3ff0000000000000			
rt-seed-0586	seeded	seeded-linear	-1	LINEAR	0000000000000000:3fee4dd8044d6e75;4022400000000000:3fcbe1789f727f40;4036c00000000000:3fc60860137aa9f0;403e800000000000:3fe126a52871faef;4043100000000000:3fc0385bcd0fccfc	403db3d266316472	bits	3fdfe7d1b2fb0fb1			
rt-seed-0587	seeded	seeded-linear	1E-400	LINEAR	0000000000000000:3fe89821cae37d17;4032000000000000:3fe993d2f5d69334;4033a00000000000:3fe6f784e7cb97b2;4042400000000000:3fd434f81bcb618e;4048500000000000:3fb037dae2ce0380	4048500000000000	bits	3fb037dae2ce0380			
rt-seed-0588	seeded	seeded-linear	1E+3	LINEAR	0000000000000000:3f9cf460f429daa0;3ffa000000000000:3fe68c0e46a1c89a;4008000000000000:3fc48c774967cb28	3ff426f83a8c6bea	bits	0000000000000000			
rt-seed-0589	seeded	seeded-linear	-1	LINEAR	0000000000000000:4059a84cf8c5bc80;4030400000000000:40649e72bf9768b9	0000000000000000	bits	4059a84cf8c5bc80			
rt-seed-0590	seeded	seeded-linear	0.00	LINEAR	0000000000000000:3fe653856c582c1e;4033a00000000000:bfd0052cddccbdec;4043e00000000000:bfe18f4f8a0cbd08	404be00000000000	bits	bfe18f4f8a0cbd08			
rt-seed-0591	seeded	seeded-linear	0	LINEAR	0000000000000000:3fd9e3946f1fd758;4002000000000000:3fd4c444b435c32e;400f000000000000:3fe9fde773e2b467	0000000000000000	bits	3fd9e3946f1fd758			
rt-seed-0592	seeded	seeded-linear	-1	LINEAR	0000000000000000:4052fe2609a1a2af;4033200000000000:404896ce5e6584dd;4033e00000000000:4054fc1735e7f424	4028be609ef8089c	bits	404d51c8736cdeea			
rt-seed-0593	seeded	seeded-linear	0.00	LINEAR	0000000000000000:403c610c661ac310;4013000000000000:c056af162b5c836f	4000d2bbb8daea7c	bits	c0385ad724ceba6c			
rt-seed-0594	seeded	seeded-linear	0.10	LINEAR	0000000000000000:c044c738bedca2c0;4025c00000000000:c0415b43e986fcca;403d800000000000:4053fcbb73ee0e68	4039f81237e97055	bits	404d19999999999a			
rt-seed-0595	seeded	seeded-linear	1E+3	LINEAR	0000000000000000:402b6a518a92ad20;4031800000000000:c0513b075a0aeb22;4043100000000000:4040d6e2d1f39330	4058080000000000	bits	4040d6e2d1f39330			
rt-seed-0596	seeded	seeded-linear	1E-400	LINEAR	0000000000000000:408ea3f7905a5f6e;4022800000000000:4088985e6aeb8398;4034400000000000:407da622a4d34dd0;4045100000000000:407866d8c45538f5;404d600000000000:405e2be74c553660	4042f9a893542ac9	bits	40796731e51ea624			
rt-seed-0597	seeded	seeded-linear	1	LINEAR	0000000000000000:4082d25e81e45b25;4034c00000000000:407f15923710e2aa;4042c00000000000:405685759f3db96d;4049b00000000000:408a17adc3ad79da;4050e80000000000:407f4a1950a9490f	4053a80000000000	bits	407f4a1950a9490f			
rt-seed-0598	seeded	seeded-linear	0.01	LINEAR	0000000000000000:405364ca787c3404;4027000000000000:40412e06764140fd	4026a9f9d5379f06	bits	4041800000000000			
rt-seed-0599	seeded	seeded-linear	0.01	LINEAR	0000000000000000:406b04079dbda317;3ff8000000000000:40638f67ea8b7573;401c800000000000:4072d1eca1e545bf;402b000000000000:4072dfb1c28e773b;402fc00000000000:4084cd3508396ac8	40246f36a5e32f11	bits	4072d87ae147ae14			
rt-seed-0600	seeded	seeded-linear	0.5	LINEAR	0000000000000000:405812e3a6115bae;4022800000000000:402f5efe7ba6ffc8;4028000000000000:c0571aee9b9696fd;4034200000000000:4047ad2d2b52fcd8	401f4f594965bace	bits	403c800000000000			
rt-seed-0601	seeded	seeded-linear	0.25	LINEAR	0000000000000000:bfd9e58fa6c49fe4;3ffe000000000000:3fe641bddd2ceb8a;4023800000000000:3fe210b696dd47dc;4033600000000000:3fcfc1317bcfd588	3fe87be1c0eb5eda	bits	0000000000000000			
rt-seed-0602	seeded	seeded-linear	1E+3	LINEAR	0000000000000000:40119981caf5aa70;4037c00000000000:404bace683505798;4038400000000000:40534fa2b4a67e20;4041f00000000000:c03b2419d1ba3cdc	4054380000000000	bits	c03b2419d1ba3cdc			
rt-seed-0603	seeded	seeded-linear	1E+3	LINEAR	0000000000000000:407a1e5dcb0488e0;4037200000000000:407739983fc6cff3;4043500000000000:40705dc87dc6d71e;4049100000000000:407892be80003eab	4031a90e018d881f	bits	408f400000000000			
rt-seed-0604	seeded	seeded-linear	0.5	LINEAR	0000000000000000:4053e50b46965fb6;401a000000000000:40423300d605d304;401e800000000000:c056db58b52bd56d;4035a00000000000:c0561dfce2113b6e;4036c00000000000:c04d278693590528	4030b51459ba7b30	bits	c056600000000000			
rt-seed-0605	seeded	seeded-linear	0.123456789012345678901	LINEAR	0000000000000000:4072a0dd5fd3fb40;4029000000000000:408bd527af36ad64;403da00000000000:4086dfe1d15bf4a8	403da00000000000	bits	4086dfe1d15bf4a8			
rt-seed-0606	seeded	seeded-linear	0.25	LINEAR	0000000000000000:40566e5c677126aa;402a400000000000:40554048281d37d8;4035000000000000:c05877e572ae56ff	401586af082f0321	bits	4056000000000000			
rt-seed-0607	seeded	seeded-linear	0.001	LINEAR	0000000000000000:bfef22ea844d6892;4033600000000000:3fe7c264c4bd35ea;403e400000000000:3fe62d92e1aa2140;403f400000000000:bfdcec70457b530c	40216620b91a2f92	bits	bfc9fbe76c8b4396			
rt-seed-0608	seeded	seeded-linear	5	LINEAR	0000000000000000:40884c04065cd20e;4035400000000000:4022df5a34021162;4046f00000000000:407cf7db90a85ca2	404b700000000000	bits	407cf7db90a85ca2			
rt-seed-0609	seeded	seeded-linear	0.10	LINEAR	0000000000000000:403b1630388dfecd;400f000000000000:4052dfe545cad488;4037400000000000:404ba4187682732e;403da00000000000:405a7229c4194020	400f000000000000	bits	4052dfe545cad488			
rt-seed-0610	seeded	seeded-linear	0.00	LINEAR	0000000000000000:4056132666ba9d9a;4022800000000000:c02ebeb933eec368;4028c00000000000:401746ecc2dc89a0;403bc00000000000:4058c477da990eec	4001f480bb05c0fc	bits	404f928538e16e64			
rt-seed-0611	seeded	seeded-linear	1	LINEAR	0000000000000000:3fedb19068b4b647;402cc00000000000:40489fdb91fd32df;4039c00000000000:4059263df8efe536;4044000000000000:4046b874a716f392	400fa6de4e60a638	bits	402c000000000000			
rt-seed-0612	seeded	seeded-linear	0.01	LINEAR	0000000000000000:c050b342e0d4d390;402b000000000000:404318f6778a85f0;4042200000000000:4050538eb20f587a;4047300000000000:c03874325bfb2b84	402609e2c2d12adc	bits	4032e66666666666			
rt-seed-0613	seeded	seeded-linear	0.01	LINEAR	0000000000000000:406ac06eb0a14568;4037200000000000:407ad12b6845b9c5;4046200000000000:407777a52769fe8d	403e1ca916fd2b14	bits	4079b5999999999a			
rt-seed-0614	seeded	seeded-linear	0.10	LINEAR	0000000000000000:bfd632ec71da0308;4037200000000000:bfed0c4b3956224e;4045700000000000:bfd5742dd6b23c44;4051080000000000:bfe6ed4e50502cbc;4053d80000000000:3fe661ca92c53be2	4051080000000000	bits	bfe6ed4e50502cbc			
rt-seed-0615	seeded	seeded-linear	-1	LINEAR	0000000000000000:bfef60259d7fea64;402a800000000000:bfb14b8ad1f29bf0;403c200000000000:bfea4eeb474347e8;4040100000000000:3fe2d75b9eb91eba	4053080000000000	bits	3fe2d75b9eb91eba			
rt-seed-0616	seeded	seeded-linear	0.01	LINEAR	0000000000000000:3fdd37572f3c18cc;4022c00000000000:3feefa0699137ccb;402fc00000000000:3fc05488478194b4;4037600000000000:3fe7cb6aa46e58ce	400bf5e6429d597f	bits	3fe47ae147ae147b			
rt-seed-0617	seeded	seeded-linear	0.1	LINEAR	0000000000000000:3fb1ff57dc6c0810;4022400000000000:3feaf6b624431157	401a970df172f29b	bits	3fe3333333333333			
rt-seed-0618	seeded	seeded-linear	0.01	LINEAR	0000000000000000:405eab4085544637;402ac00000000000:4077d218f6dbc27b;4036c00000000000:4073511609306e3d	402c2a49a96c3fd9	bits	40777b3333333333			
rt-seed-0619	seeded	seeded-linear	0	LINEAR	0000000000000000:408851de86274d06;3ff0000000000000:405418fb330d2552;4037a00000000000:4063a6fc7c1f0322;4038800000000000:407a10fa2c7018cf;4039400000000000:404b62127961af8c	403243b1f35481f1	bits	4061607e01a84122			
rt-seed-0620	seeded	seeded-linear	-1	LINEAR	0000000000000000:3fe141e096c3bbc9;401f000000000000:3fd5102bdaefdaa6;4031e00000000000:3fe67d5883c6d0b1;4034c00000000000:3fb8700a72c41900	401bfee3f2862a35	bits	3fd65de71c2f76d4			
rt-seed-0621	seeded	seeded-linear	0.123456789012345678901	LINEAR	0000000000000000:3fd728a42986db4c;4020000000000000:3fe37ddd39900ee6;402bc00000000000:3fe6407550268f58	4024206d3edc2666	bits	3fe3c0ca428c59fb			
rt-seed-0622	seeded	seeded-linear	0.1	LINEAR	0000000000000000:40501b55bc376c52;400d000000000000:4031277909f30e1e;4024800000000000:404aeef6779659bf	4021972964b7d7fa	bits	4046e66666666666			
rt-seed-0623	seeded	seeded-linear	1E-400	LINEAR	0000000000000000:bfebe1a1e574140e;4038000000000000:bfd45076d919bd10;4045c00000000000:bfd7a6dd58de367c	40384dd759590303	bits	bfd45dc97df520fe			
rt-seed-0624	seeded	seeded-linear	0	LINEAR	0000000000000000:3fb4253a2e52cb50;401a000000000000:3fcbe7c688332c28	401026afc0f0f3ac	bits	3fc5267a5fc0c85a			
rt-seed-0625	seeded	seeded-linear	0.2	LINEAR	0000000000000000:c041b660a40dc13c;4014000000000000:4052f76d3a64713a	0000000000000000	bits	c041b660a40dc13c			
rt-seed-0626	seeded	seeded-linear	0.123456789012345678901	LINEAR	0000000000000000:3feb486d28712616;4025800000000000:3fedeaf5db328eda	40234f75c64a62fe	bits	3feba781905e1793			
rt-seed-0627	seeded	seeded-linear	0	LINEAR	0000000000000000:bfd9afb59c6ae454;4038400000000000:3feb36c9247b38cc;403dc00000000000:3fe745a750f2dfe4	0000000000000000	bits	bfd9afb59c6ae454			
rt-seed-0628	seeded	seeded-linear	1E+3	LINEAR	0000000000000000:3fcf1cf4ab8379ac;4038200000000000:3fd59fd979316a2a	0000000000000000	bits	3fcf1cf4ab8379ac			
rt-seed-0629	seeded	seeded-linear	0.2	LINEAR	0000000000000000:4054dc027da09a48;4012800000000000:404a4b0d1a99e4e6;4038800000000000:40533711eb07dcf2;4043800000000000:4058e2ffac4ed0a7;404cc00000000000:404e4e83e58ca163	404ac61945b980ab	bits	4051400000000000			
rt-seed-0630	seeded	seeded-linear	0.1	LINEAR	0000000000000000:4050ae5bae8de96a;4038200000000000:4054e8766624a7e9	4035bb67fd12a074	bits	405479999999999a			
rt-seed-0631	seeded	seeded-linear	0.10	LINEAR	0000000000000000:c0381a74d4408e78;4001000000000000:40520960eb4b7982;403a400000000000:c05823203f508504;4046a00000000000:c035f44a71d53a90;404e300000000000:c04c516da65f2c9c	404073f2bddcc7b5	bits	c05199999999999a			
rt-seed-0632	seeded	seeded-linear	1E-7	LINEAR	0000000000000000:bfe22015d358d6b4;4039600000000000:3febb4bcfb3660f0;4044800000000000:bfec58ff2d012a76;4048a00000000000:bfe769073141676e	403928536475b8eb	bits	3feb502e4b6ce5dc			
rt-seed-0633	seeded	seeded-linear	0.2	LINEAR	0000000000000000:3fd9e5c0648f787c;402f000000000000:3fd481d45a51101e;4031000000000000:3fefa81e95f5c7a1	402f51dc9f8b70a6	bits	3fc999999999999a			
rt-seed-0634	seeded	seeded-linear	0	LINEAR	0000000000000000:407995c403d0cf1d;4030000000000000:405a5a536da49a46;4042500000000000:405079fdb9e47015	403be79f37db6962	bits	4054a6f7dccd5170			
rt-seed-0635	seeded	seeded-linear	1	LINEAR	0000000000000000:3fdeabf7c6e66eb8;4019800000000000:3fdded864082123e	4012dd4acd1f85fd	bits	3ff0000000000000			
rt-seed-0636	seeded	seeded-linear	0.10	LINEAR	0000000000000000:402fc06d84eefab1;4010800000000000:4027206c34e4f19d;4031e00000000000:403cb253afee1cda;4042f00000000000:404a62517991cdf5;404a200000000000:403db44c1e780762	3ff93b3241a0b67c	bits	402c99999999999a			
rt-seed-0637	seeded	seeded-linear	0.10	LINEAR	0000000000000000:3fe0dc600668daf0;4034600000000000:3fe033723225d509;403f600000000000:3feef82322565359;404a500000000000:3fe428c7a6a736ab;4051f00000000000:3fe7461c9cb3e5d1	4027d5d22808d28c	bits	3fe3333333333333			
rt-seed-0638	seeded	seeded-linear	1E+3	LINEAR	0000000000000000:40730f9544ab4a4c;4013000000000000:40279a529bf8cdba;4020800000000000:4089bd40a590fa4c	401c4d60d459f1f0	bits	0000000000000000			
rt-seed-0639	seeded	seeded-linear	0.01	LINEAR	0000000000000000:406d17ae6b395abe;4028800000000000:40666a2003d67cb6;4033800000000000:40804d85bd18e23c	400dff43e957c604	bits	406b0c7ae147ae14			
rt-seed-0640	seeded	seeded-linear	1	LINEAR	0000000000000000:405b80777279d5f0;4036400000000000:405494aa17496120;403aa00000000000:4059e5b153c25dc0;4044e00000000000:405eba616d28edc7;4050100000000000:4053066ff559396b	4036ae2cd1bce4da	bits	4055000000000000			
rt-seed-0641	seeded	seeded-linear	1E+3	LINEAR	0000000000000000:3fe7e8a995cf5e12;4023400000000000:bfd6e4ac9183297c;4031000000000000:bfe786018e3bc4b6;4041200000000000:3fe26ededa5e7586	403427ce655b1c5f	bits	c08f400000000000			
rt-seed-0642	seeded	seeded-linear	0.2	LINEAR	0000000000000000:3fe12a561a83551e;4032600000000000:3fc2fc6d7607f838	40321547bffe736d	bits	3fc999999999999a			
rt-seed-0643	seeded	seeded-linear	0.25	LINEAR	0000000000000000:3fe82242ca5b90e0;4006000000000000:bfea20ea965095b6	4000c690789c05d0	bits	0000000000000000			
rt-seed-0644	seeded	seeded-linear	0.001	LINEAR	0000000000000000:40670aba4a707c98;4039400000000000:407c9cd52c40116a;403b600000000000:40660fbabe944edc;4044e00000000000:4087172973e8f11d;4046f00000000000:407563aa06ab75b6	403616d500c3a7b4	bits	407a791a9fbe76c9			
rt-seed-0645	seeded	seeded-linear	0.01	LINEAR	0000000000000000:3f9445cf9cbbbac0;4026c00000000000:3fd69822ef729dee;4035e00000000000:3fed0a0ef358a2b2;4047900000000000:3fe6f1a9dfcc4bdf;4049300000000000:3f9665e1a4412d60	4024416e5ba28322	bits	3fd3d70a3d70a3d7			
rt-seed-0646	seeded	seeded-linear	0	LINEAR	0000000000000000:4061a9c8f91fed64;402ac00000000000:40849d20aeaf5d9d;402e800000000000:4085b88f19f76db7;4042200000000000:407013bfe74e8aae;4045b00000000000:4055d04cce4e541c	0000000000000000	bits	4061a9c8f91fed64			
rt-seed-0647	seeded	seeded-linear	0.1	LINEAR	0000000000000000:404700c6740c6d6f;4034800000000000:4052be24e9733510;4037400000000000:405ecbb7619550b9	40356e0880e85d0d	bits	4056cccccccccccd			
rt-seed-0648	seeded	seeded-linear	0.001	LINEAR	0000000000000000:3fe955cdecf0230b;4029800000000000:3fe0eb8e0f691ecd;4032a00000000000:3fe2455d598a12e3	402d2f84d8f834bf	bits	3fe14fdf3b645a1d			
rt-seed-0649	seeded	seeded-linear	1	LINEAR	0000000000000000:bfe4c7adfd0fea42;4011800000000000:3fe1c2725f4b527c;4031e00000000000:3fa9d462237eb760;4045800000000000:3fd24d75b3c73f18	0000000000000000	bits	bfe4c7adfd0fea42			
